Turbidity_NTU,Temp_C,TDS_mgL,Hardness_mgL,Conductivity_uS_cm,DO_mgL,Contaminated,Diseases
2062.1780831931537,19.435946417686708,365.7286034947499,100.0,234.06630623663995,6,False,[]
2465.5000144869414,22.470620280899823,349.8958421183013,100.0,223.93333895571283,6,False,[]
2312.3957592679835,21.882092087272067,65.96201535841168,80.0,100.0,6,False,[]
2219.0609389379256,14.000698761019057,462.834754354784,100.0,296.2142427870618,6,False,[]
1909.2130483097055,13.94024310663916,292.8666570352734,87.85999711058203,187.43466050257499,6,False,[]
1909.196164235342,15.486266780683874,194.58825014512843,80.0,124.5364800928822,6,False,[]
1840.6585285177396,16.693971442433483,383.1385200777472,100.0,245.2086528497582,6,False,[]
2406.3233020424545,17.309922558310273,143.53542003278434,80.0,100.0,6,False,[]
2220.7805082202462,20.836063818833487,352.8847217822338,100.0,225.84622194062962,6,False,[]
2295.650804457232,12.73684561815586,39.061379634678666,80.0,100.0,6,False,[]
1814.4091460070617,12.450745154938863,422.9158580524505,100.0,270.6661491535683,6,False,[]
2478.9368965133963,17.09483731827082,235.12200657023288,80.0,150.47808420494906,6,False,[]
2382.709848560295,21.063127997793746,325.612598891812,97.6837796675436,208.3920632907597,6,False,[]
1948.6373774747933,14.514659458434274,126.19415350720816,80.0,100.0,6,False,[]
1927.2774770449705,20.339558256331273,344.995382076055,100.0,220.79704452867523,6,False,[]
1928.3831568974038,15.377765793223894,390.6753324287728,100.0,250.0322127544146,6,False,[]
2012.9695700716763,23.519119414575712,247.14232970451138,80.0,158.1710910108873,6,False,[]
2167.3295021425665,23.643969275466013,316.5089235496613,94.95267706489838,202.56571107178323,6,False,[]
2102.361513049481,15.864733655657243,239.0364434347513,80.0,152.98332379824083,6,False,[]
2003.8603981386293,14.989918801522126,449.16385724376585,100.0,287.4648686360101,6,False,[]
2228.2970263056654,17.346951636861007,258.9772066468732,80.0,165.74541225399884,6,False,[]
1897.6457024564293,15.126910607341934,424.0681803338331,100.0,271.4036354136532,6,False,[]
2004.5012539746526,20.74098996279215,404.6489879697193,100.0,258.9753523006204,6,False,[]
2056.4532903055842,22.738840899127712,217.04231424721112,80.0,138.90708111821513,6,False,[]
2119.248988951925,20.75019770184582,130.440556091588,80.0,100.0,6,False,[]
2349.6231729751094,22.716555814241545,214.91942362869008,80.0,137.54843112236165,6,False,[]
1939.7716475108518,17.160898108697165,416.58434037210566,100.0,266.6139778381476,6,False,[]
2159.964106889528,14.032120619215192,129.26361719330833,80.0,100.0,6,False,[]
2214.6901982034296,21.593362316168697,271.7294460117197,81.5188338035159,173.90684544750061,6,False,[]
1832.5152889039985,16.686168566840202,406.9264390211588,100.0,260.4329209735416,6,False,[]
2225.281396331007,20.726520727978723,189.6691880616218,80.0,121.38828035943796,6,False,[]
1919.3668865811042,15.518371245762953,328.26062576129476,98.47818772838842,210.08680048722866,6,False,[]
1845.5361150896956,13.055985252486744,137.90315554343096,80.0,100.0,6,False,[]
2464.2198760773335,24.903563341340924,72.45413377671676,80.0,100.0,6,False,[]
2475.9424231521916,14.03061960309779,401.30442804457107,100.0,256.8348339485255,6,False,[]
2365.878143681523,24.849472921525255,67.50493923617927,80.0,100.0,6,False,[]
2013.2296384213596,24.704639123363815,150.2630696382006,80.0,100.0,6,False,[]
1868.3704798044687,22.319635350804518,430.45252255877125,100.0,275.4896144376136,6,False,[]
2278.96311855851,20.57249850706597,186.30525779776025,80.0,119.23536499056657,6,False,[]
2108.1067456177207,19.511491653264102,487.06176776679735,100.0,311.7195313707503,6,False,[]
1885.4267643913452,23.259320089911853,490.2724806914527,100.0,313.77438764252975,6,False,[]
2146.623837077889,15.762713781053343,148.77248981770722,80.0,100.0,6,False,[]
1824.071964780653,18.079855762303403,39.669546679947416,80.0,100.0,6,False,[]
2436.5242814551475,20.052069601764526,358.430376418582,100.0,229.3954409078925,6,False,[]
1981.1459871200118,17.345476186303383,236.473521271205,80.0,151.3430536135712,6,False,[]
2263.7655990477874,17.557323903173483,68.36136510059661,80.0,100.0,6,False,[]
2018.1977532625876,16.2937006775271,359.6109531094605,100.0,230.15100999005475,6,False,[]
2164.0476148244675,19.33501361689897,34.96395637372218,80.0,100.0,6,False,[]
2182.697195540296,23.057468864196508,437.6944114362762,100.0,280.12442331921676,6,False,[]
1929.398118867869,14.619868914082067,86.55321397438578,80.0,100.0,6,False,[]
2478.709239435191,24.14762950379474,81.109701798428,80.0,100.0,6,False,[]
2342.59297635278,20.958139498726986,104.32270302492057,80.0,100.0,6,False,[]
2457.6492590949324,22.702551764840393,480.9278520761919,100.0,307.79382532876286,6,False,[]
2426.379145299354,19.23047900419015,352.7212929218461,100.0,225.7416274699815,6,False,[]
2218.5299851677596,22.133717118512827,404.6583370225456,100.0,258.98133569442916,6,False,[]
2445.311964516182,12.210605165413075,210.86479315172144,80.0,134.95346761710172,6,False,[]
1861.9447514363437,22.63894552213396,181.43010920237867,80.0,116.11526988952235,6,False,[]
1937.1880036934017,12.521805168109765,132.55232325592158,80.0,100.0,6,False,[]
1831.6591022373766,23.568873892717214,250.7110535899563,80.0,160.45507429757203,6,False,[]
2027.7312315342851,24.895515714102363,284.87779209640087,85.46333762892026,182.32178694169656,6,False,[]
2072.0741027826375,15.82287700829811,323.2519249533226,96.97557748599678,206.88123197012646,6,False,[]
1989.9443222417271,14.734141231715316,143.41688191937337,80.0,100.0,6,False,[]
2380.1162564063507,21.94972373015453,475.3539588334355,100.0,304.22653365339875,6,False,[]
2049.7273286855125,15.289342431963291,101.4840791394252,80.0,100.0,6,False,[]
1996.6541567811664,23.252310981238644,483.5135238878779,100.0,309.44865528824187,6,False,[]
2179.887258210774,13.336953698047196,27.13093880360182,80.0,100.0,6,False,[]
1898.6469574823338,13.637417552931657,250.94033207208588,80.0,160.60181252613498,6,False,[]
2361.537886527828,24.728970216308003,180.01656229595014,80.0,115.21059986940809,6,False,[]
1852.1854505758395,20.759905677510062,235.57923868652037,80.0,150.77071275937303,6,False,[]
2490.820855620362,23.009533917576384,293.9189979107787,88.17569937323361,188.10815866289838,6,False,[]
2340.57133850766,16.216281905569733,229.08279584610034,80.0,146.61298934150423,6,False,[]
1939.1009770739206,20.794288743767858,219.12648814476557,80.0,140.24095241264996,6,False,[]
1803.8654819865217,19.725143755011764,371.7072393983871,100.0,237.89263321496776,6,False,[]
2370.822999918384,19.84095156159831,349.22061204150305,100.0,223.50119170656194,6,False,[]
2294.8001406933317,20.87292197399038,419.97021537720696,100.0,268.7809378414125,6,False,[]
2310.305017628691,19.47966925067828,139.98031099495788,80.0,100.0,6,False,[]
2339.889242680162,17.577810800934657,312.5736846819505,93.77210540458515,200.04715819644832,6,False,[]
1851.8312562138633,15.58699502694711,300.89349698856984,90.26804909657095,192.5718380726847,6,False,[]
2050.926009980991,21.991557301871627,197.4741492188906,80.0,126.38345550009,6,False,[]
1881.1083416675908,14.941541590041421,253.30762011328684,80.0,162.11687687250358,6,False,[]
2404.1723981129153,21.000605980007386,170.6154287867498,80.0,109.19387442351987,6,False,[]
2236.3086887792906,15.033326694441246,88.08531085615289,80.0,100.0,6,False,[]
2031.6286173968545,20.1292922094079,122.62458111811176,80.0,100.0,6,False,[]
1844.4908452002167,21.712017472677374,70.64655027257652,80.0,100.0,6,False,[]
2017.6876252009636,14.84328055578501,347.87339609125956,100.0,222.63897349840613,6,False,[]
2027.6283254187229,12.779262911197007,337.1491486923927,100.0,215.77545516313134,6,False,[]
2310.724324836645,13.702658658924264,476.29105835833894,100.0,304.8262773493369,6,False,[]
2246.290229948649,19.877960574523332,370.24563855067584,100.0,236.95720867243253,6,False,[]
2421.0489198034284,23.042803280934564,44.9820026029431,80.0,100.0,6,False,[]
2130.5504476133647,12.584958676060516,444.437683485898,100.0,284.44011743097474,6,False,[]
1883.7159721568112,21.5439663675414,434.0840782139484,100.0,277.81381005692697,6,False,[]
2299.2713510560966,16.437142397350677,232.79375397089535,80.0,148.98800254137302,6,False,[]
2332.5495340318284,18.220868808953792,301.21426425340235,90.3642792760207,192.7771291221775,6,False,[]
2192.8940382986475,24.075174147992353,488.51759958680907,100.0,312.6512637355578,6,False,[]
2339.6770259681925,16.31562956156599,275.50609464711977,82.65182839413593,176.32390057415665,6,False,[]
2145.6569174550737,18.04938014121332,454.5544776205231,100.0,290.9148656771348,6,False,[]
2165.9129805673956,12.177871391888853,59.85860374888949,80.0,100.0,6,False,[]
2099.278712850985,13.0607833600629,111.70489698016777,80.0,100.0,6,False,[]
1817.7933887208667,15.361690684752192,231.56237285183255,80.0,148.19991862517284,6,False,[]
1875.523998895313,12.362079130673967,300.68326800190624,90.20498040057187,192.43729152122,6,False,[]
1822.000429980714,20.207879238627264,411.7893688941441,100.0,263.54519609225224,6,False,[]
2245.4872878846463,17.543178638421093,494.3658152687297,100.0,316.39412177198705,6,False,[]
2020.0491867534288,19.125887635464288,206.64871830757588,80.0,132.25517971684857,6,False,[]
2155.999483815292,14.270413416652284,42.75950534724076,80.0,100.0,6,False,[]
2435.296531748265,15.84711638267601,404.5623215817559,100.0,258.9198858123238,6,False,[]
1974.5045604042125,20.629718173085426,310.1027451597479,93.03082354792436,198.46575690223864,6,False,[]
2087.268046124941,24.548935407195195,115.3005722567368,80.0,100.0,6,False,[]
2328.885796980134,12.655418056828719,257.5176591782817,80.0,164.81130187410028,6,False,[]
1960.1587158441357,23.574996171118457,376.3089178561877,100.0,240.83770742796014,6,False,[]
1853.885936880155,19.49945561704571,389.797657792949,100.0,249.47050098748736,6,False,[]
2002.8260170396377,19.330954367823107,259.81683775940576,80.0,166.2827761660197,6,False,[]
1912.854901077803,18.503620957700885,166.50297446185238,80.0,106.56190365558552,6,False,[]
2450.7883566398013,12.902123116754384,487.3964393784769,100.0,311.93372120222523,6,False,[]
2365.684265695092,13.16839907257009,338.41405325911654,100.0,216.58499408583458,6,False,[]
2243.3826295572962,19.81185607356812,215.95400928622337,80.0,138.21056594318296,6,False,[]
2410.0224131314026,16.432461428662258,154.62234761823316,80.0,100.0,6,False,[]
2362.5704538293803,23.924484865509847,370.9294318417098,100.0,237.39483637869427,6,False,[]
1930.599041220225,17.28567698567314,136.2480538850085,80.0,100.0,6,False,[]
2424.791298942984,13.862658963134335,102.42079470737032,80.0,100.0,6,False,[]
2177.5395693409555,21.291344835526466,274.32026670179374,82.29608001053812,175.564970689148,6,False,[]
2365.2081086148437,15.813594478733128,159.1939484691881,80.0,101.88412702028037,6,False,[]
2427.263909946445,18.831113995626612,321.8744695633352,96.56234086900055,205.99966052053452,6,False,[]
2022.6024324803047,21.07182621156721,76.61056393963207,80.0,100.0,6,False,[]
1877.0363471693738,23.703433445626914,334.3717301923144,100.0,213.9979073230812,6,False,[]
1959.5546137793592,22.29848553242179,155.98233343889706,80.0,100.0,6,False,[]
2098.9754520383794,20.79269388234541,20.11660852856611,80.0,100.0,6,False,[]
